"us_state","max_category","max_amount"
"AK","shopping_net",1099.67
"AL","travel",4154.78
"AR","travel",3579.08
"AZ","shopping_pos",2393.29
"CA","travel",9861.17
"CO","travel",8217.23
"CT","travel",8266.86
"DC","shopping_net",1201.86
"DE","shopping_net",1012.77
"FL","travel",9995.78
"GA","travel",11960.97
"HI","misc_pos",1477.41
"IA","travel",6934.27
"ID","shopping_pos",1144.02
"IL","travel",3774.18
"IN","misc_net",2863.71
"KS","travel",3436.85
"KY","shopping_pos",3593.23
"LA","shopping_net",3718.83
"MA","shopping_net",3833.36
"MD","travel",6665.34
"ME","shopping_pos",3598.04
"MI","shopping_pos",4248.63
"MN","shopping_net",1694.21
"MO","travel",4530.58
"MS","shopping_pos",2673.07
"MT","travel",2589.22
"NC","shopping_pos",7747.73
"ND","shopping_pos",2194.79
"NE","travel",28948.9
"NH","travel",1242.41
"NJ","travel",4551.94
"NM","travel",3343.52
"NV","shopping_net",1077.27
"NY","shopping_net",4951.14
"OH","travel",3923.87
"OK","travel",4029.6
"OR","shopping_net",4982.7
"PA","shopping_pos",4180.78
"RI","travel",11629.34
"SC","travel",8255.19
"SD","travel",4284.52
"TN","shopping_pos",2929.92
"TX","travel",15047.03
"UT","shopping_net",5801.49
"VA","shopping_net",3904.95
"VT","shopping_pos",4522.11
"WA","shopping_net",3026.86
"WI","shopping_net",5122.54
"WV","travel",6527.88
"WY","misc_pos",2165.99
